Year,State,RATE,Deaths
2017,TX,12.4,3513
2017,UT,14,410
2017,VT,11.7,70
2017,VA,11.9,1041
2017,WA,11.1,849
2017,WV,18.6,348
2017,WI,10.6,624
2017,WY,18.8,113
2016,AL,21.5,1046
2016,AK,23.3,177
2016,AZ,15.2,1094
2016,AR,17.8,541
2016,CA,7.9,3184
2016,CO,14.3,812
2016,CT,4.6,172
2016,DE,11,111
2016,FL,12.6,2704
2016,GA,15,1571
2016,HI,4.5,66
2016,ID,14.6,242
2016,IL,11.7,1490
2016,IN,15,997
2016,IA,9.2,288
2016,KS,13.4,383
2016,KY,17.5,772
2016,LA,21.3,987
2016,ME,8.3,123
2016,MD,11.9,707
2016,MA,3.4,242
2016,MI,12.3,1230
2016,MN,7.6,432
2016,MS,19.9,587
2016,MO,19,1144
2016,MT,18.9,194
2016,NE,9.1,171
2016,NV,16.8,498
2016,NH,9.3,132
2016,NJ,5.5,485
2016,NM,18.1,383
2016,NY,4.4,900
2016,NC,13.7,1409
2016,ND,11.9,90
2016,OH,12.9,1524
2016,OK,19.6,766
2016,OR,11.9,513
2016,PA,12,1555
2016,RI,4.1,49
2016,SC,17.7,891
2016,SD,13.4,108
2016,TN,17.1,1148
2016,TX,12.1,3353
2016,UT,12.9,370
2016,VT,11.1,78
2016,VA,12.1,1049
2016,WA,9,686
2016,WV,17.5,332
2016,WI,11.4,664
2016,WY,17.4,101
2015,AL,19.6,958
2015,AK,23.4,177
2015,AZ,13.8,970
2015,AR,16.9,520
2015,CA,7.7,3095
2015,CO,12.6,701
2015,CT,5.3,189
2015,DE,12.1,112
2015,FL,12,2559
2015,GA,14.1,1448
2015,HI,3.6,55
2015,ID,14.7,247
2015,IL,9.5,1220
2015,IN,12.7,846
2015,IA,7.8,247
2015,KS,11.4,330
2015,KY,15.2,694
2015,LA,20.4,952
2015,ME,9.8,144
2015,MD,11.9,708
2015,MA,3,213
2015,MI,11.7,1164
2015,MN,7.4,410
2015,MS,19.6,589
2015,MO,18.1,1094
2015,MT,19.2,205
2015,NE,8.9,169
2015,NV,14.9,446
2015,NH,8.9,121
2015,NJ,5.4,475
2015,NM,18.6,390
2015,NY,4.2,849
2015,NC,12.5,1289
2015,ND,12.8,92
2015,OH,11.9,1397
2015,OK,18,706
2015,OR,11.4,486
2015,PA,11.4,1485
2015,RI,4.7,51
2015,SC,17.3,850
2015,SD,11.1,96
2015,TN,16,1075
2015,TX,11.7,3203
2015,UT,12.8,367
2015,VT,9.6,70
2015,VA,10.9,946
2015,WA,9.8,718
2015,WV,14,278
2015,WI,10.4,613
2015,WY,19.6,113
2014,AL,16.9,815
2014,AK,19.2,145
2014,AZ,13.5,927
2014,AR,16.6,496
2014,CA,7.4,2942
2014,CO,12.2,663
2014,CT,5,187
2014,DE,11.1,102
2014,FL,11.5,2410
2014,GA,13.7,1391
2014,HI,2.6,40
2014,ID,13.2,213
2014,IL,9,1179
2014,IN,12.4,818
2014,IA,7.5,241
2014,KS,11.3,329
2014,KY,13.9,634
2014,LA,19,896
2014,ME,9.4,133
2014,MD,9,546
2014,MA,3.2,226
2014,MI,11.1,1095
2014,MN,6.6,377
2014,MS,18.3,547
2014,MO,15.3,943
2014,MT,16.1,172
2014,NE,9.5,179
2014,NV,14.8,429
2014,NH,8.7,122
2014,NJ,5.3,468
2014,NM,16,340
2014,NY,4.2,875
2014,NC,11.8,1206
2014,ND,12.3,96
2014,OH,10.3,1211
2014,OK,15.7,611
2014,OR,11.7,497
2014,PA,10.5,1390
2014,RI,3,34
2014,SC,15.5,767
2014,SD,10.3,89
2014,TN,15.1,1016
2014,TX,10.7,2848
2014,UT,12.3,337
2014,VT,10.3,69
2014,VA,10.3,889
2014,WA,9.7,702
2014,WV,14.6,286
2014,WI,8.2,487
2014,WY,16.2,93
2005,AL,16,736
2005,AK,17.5,116
2005,AZ,16.1,934
2005,AR,15.7,439
2005,CA,9.5,3453
2005,CO,11.6,535
2005,CT,5.3,187
2005,DE,8.8,75
2005,FL,10,1838
2005,GA,12.1,1064
2005,HI,2.1,28
2005,ID,14.1,195
2005,IL,8,1019
2005,IN,11.2,705
2005,IA,6.7,201
2005,KS,9.3,257
2005,KY,13,548
2005,LA,18.5,858
2005,ME,7.8,109
2005,MD,11.9,657
2005,MA,3.4,224
2005,MI,10.8,1074
2005,MN,7,361
2005,MS,16,455
2005,MO,12.9,752
2005,MT,16.9,161
2005,NE,7.7,135
2005,NV,16.1,390
2005,NH,6.6,88
2005,NJ,5.2,434
2005,NM,13.9,267
2005,NY,5.3,1019
2005,NC,12.8,1119
2005,ND,8.8,61
2005,OH,9.6,1116
2005,OK,13.2,468
2005,OR,10.7,402
2005,PA,10.8,1352
2005,RI,3.6,39
2005,SC,13.8,589
2005,SD,10.2,82
2005,TN,16,976
2005,TX,11.1,2490
2005,UT,10.1,227
2005,VT,6.8,44
2005,VA,11.5,888
2005,WA,8.8,567
2005,WV,13.8,261
2005,WI,8.5,474
2005,WY,13.4,71
